date,token,price,marketCap,total,share,z,x,c,v,b,n,m
2019-12-01,SOL,0.000571,0.000304914,190.1321434,1.60E-06,0.032845002,13.72764206,7193.599121,129.6108551,0.000571,0.192893997,190.1321434
2020-01-01,SOL,0.000571,0.000304914,247.9668229,1.23E-06,0.053792998,18.21097946,9350.529297,180.1601715,0.000571,0.239233002,247.9668229
2020-02-01,SOL,0.000571,0.000304914,236.1472758,1.29E-06,0.047541,19.58409119,8599.508789,219.8485107,0.000571,0.231193006,236.1472758
2020-03-01,SOL,0.000571,0.000304914,172.590576,1.77E-06,0.030553,12.58160591,6438.644531,133.5935669,0.000571,0.174563006,172.590576
2020-04-01,SOL,0.691044986,0.369018023,233.9482393,0.001577349,0.047846001,17.0339756,8658.553711,207.6020508,0.691044986,0.212761,233.9482393
2020-05-01,SOL,0.570021987,0.304391741,253.7493815,0.001199576,0.074352004,17.04047203,9461.058594,230.975708,0.570021987,0.202905998,253.7493815
2020-06-01,SOL,0.860094011,0.459290202,243.9266037,0.001882903,0.083116002,15.41358185,9137.993164,226.3150024,0.860094011,0.175870001,243.9266037
2020-07-01,SOL,1.538177967,0.821387034,316.3537651,0.002596419,0.138797998,20.66814613,11323.4668,345.554657,1.538177967,0.25890401,316.3537651
2020-08-01,SOL,4.782045841,2.553612479,338.4061422,0.007545999,0.122688003,23.19305038,11680.82031,435.0797424,4.782045841,0.281765997,338.4061422
2020-09-01,SOL,2.897876024,1.547465797,305.8044868,0.005060311,0.101062,29.29087639,10784.49121,359.9378662,2.897876024,0.241784006,305.8044868
2020-10-01,SOL,1.540699959,0.822733778,370.4657148,0.002220809,0.093056001,28.43121529,13780.99512,386.590332,1.540699959,0.239743993,370.4657148
2020-11-01,SOL,1.96689105,1.050319821,567.3990268,0.001851113,0.171307996,31.39278603,19625.83594,614.8425293,1.96689105,0.664336979,567.3990268
2020-12-01,SOL,1.510897994,0.806819529,736.0050563,0.001096215,0.181397006,37.37603378,29001.7207,737.8034058,1.510897994,0.219845995,736.0050563
