Date,BTC,PAXG
2022-02-10,43565.11328,1834.20813
2022-02-11,42407.9375,1870.147461
2022-02-12,42244.46875,1874.189941
2022-02-13,42197.51563,1883.418335
2022-02-14,42586.91797,1882.347412
2022-02-15,44575.20313,1858.87793
2022-02-16,43961.85938,1877.211914
2022-02-17,40538.01172,1916.026001
2022-02-18,40030.97656,1914.976563
2022-02-19,40122.15625,1915.845459
2022-02-20,38431.37891,1935.629395
2022-02-21,37075.28125,1952.762085
2022-02-22,38286.02734,1909.236694
2022-02-23,37296.57031,1921.450073
2022-02-24,38332.60938,1934.810913
2022-02-25,39214.21875,1897.698364
2022-02-26,39105.14844,1889.610718
2022-02-27,37709.78516,1914.87915
2022-02-28,43193.23438,1896.833374
2022-03-01,44354.63672,1933.066528
2022-03-02,43924.11719,1923.682007
2022-03-03,42451.78906,1934.783203
2022-03-04,39137.60547,1970.306763
2022-03-05,39400.58594,1973.535767
2022-03-06,38419.98438,1993.025513
2022-03-07,38062.03906,2005.298096
2022-03-08,38737.26953,2055.900635
2022-03-09,41982.92578,1993.776855
2022-03-10,39437.46094,2001.53479
2022-03-11,38794.97266,1987.044067
2022-03-12,38904.01172,1992.044556
2022-03-13,37849.66406,1986.010986
2022-03-14,39666.75391,1960.924683
2022-03-15,39338.78516,1926.214844
2022-03-16,41143.92969,1935.588989
2022-03-17,40951.37891,1949.947754
2022-03-18,41801.15625,1923.830933
2022-03-19,42190.65234,1918.906494
2022-03-20,41247.82422,1922.821411
2022-03-21,41077.99609,1937.536255
2022-03-22,42358.80859,1919.909302
2022-03-23,42892.95703,1947.290649
2022-03-24,43960.93359,1955.869263
2022-03-25,44348.73047,1957.964966
2022-03-26,44500.82813,1964.426636
2022-03-27,46820.49219,1953.050293
2022-03-28,47128.00391,1925.259155
2022-03-29,47465.73047,1919.106445
2022-03-30,47062.66406,1930.069946
2022-03-31,45538.67578,1934.363647
2022-04-01,46281.64453,1923.264282
2022-04-02,45868.94922,1921.917847
2022-04-03,46453.56641,1923.289307
2022-04-04,46622.67578,1931.587036
2022-04-05,45555.99219,1920.643433
2022-04-06,43206.73828,1922.102539
2022-04-07,43503.84766,1930.364258
2022-04-08,42287.66406,1945.397339
2022-04-09,42782.13672,1949.114624
2022-04-10,42207.67188,1943.121338
2022-04-11,39521.90234,1953.721069
2022-04-12,40127.18359,1968.841431
2022-04-13,41166.73047,1981.063477
2022-04-14,39935.51563,1975.895752
2022-04-15,40553.46484,1981.219238
2022-04-16,40424.48438,1980.134888
2022-04-17,39716.95313,1986.313477
2022-04-18,40826.21484,1979.894409
2022-04-19,41502.75,1955.123657
2022-04-20,41374.37891,1962.889771
2022-04-21,40527.36328,1959.189453
2022-04-22,39740.32031,1937.474854
2022-04-23,39486.73047,1934.819702
2022-04-24,39469.29297,1935.546021
2022-04-25,40458.30859,1907.797729
2022-04-26,38117.46094,1908.039185
2022-04-27,39241.12109,1894.254761
2022-04-28,39773.82813,1900.843994
2022-04-29,38609.82422,1904.972778
2022-04-30,37714.875,1901.595947
2022-05-01,38469.09375,1904.331421
2022-05-02,38529.32813,1869.732788
2022-05-03,37750.45313,1871.64624
2022-05-04,39698.37109,1889.063232
2022-05-05,36575.14063,1878.257202
2022-05-06,36040.92188,1885.41748
2022-05-07,35501.95313,1887.622925
2022-05-08,34059.26563,1884.979126
2022-05-09,30296.95313,1851.635132
2022-05-10,31022.90625,1836.51709
2022-05-11,28936.35547,1858.143677
2022-05-12,29047.75195,1836.147461
2022-05-13,29283.10352,1809.033447
2022-05-14,30101.26563,1811.555542
2022-05-15,31305.11328,1811.131226
2022-05-16,29862.91797,1825.412231
2022-05-17,30425.85742,1819.471069
2022-05-18,28720.27148,1816.976685
2022-05-19,30314.33398,1852.999756
2022-05-20,29200.74023,1852.856079
2022-05-21,29432.22656,1853.769165
2022-05-22,30323.72266,1852.485229
2022-05-23,29098.91016,1854.969482
2022-05-24,29655.58594,1870.304688
2022-05-25,29562.36133,1857.5
2022-05-26,29267.22461,1850.585693
2022-05-27,28627.57422,1854.062012
2022-05-28,28814.90039,1855.692749
2022-05-29,29445.95703,1851.87854
2022-05-30,31726.39063,1857.577026
2022-05-31,31792.31055,1838.105957
2022-06-01,29799.08008,1850.57312
2022-06-02,30467.48828,1871.145874
2022-06-03,29704.39063,1855.750732
2022-06-04,29832.91406,1860.404419
2022-06-05,29906.66211,1857.887573
2022-06-06,31370.67188,1845.455688
2022-06-07,31155.47852,1855.936401
2022-06-08,30214.35547,1855.543335
2022-06-09,30111.99805,1847.127808
2022-06-10,29083.80469,1873.052246
2022-06-11,28360.81055,1880.163696
2022-06-12,26762.64844,1882.606079
2022-06-13,22487.38867,1826.766968
2022-06-14,22206.79297,1815.40918
2022-06-15,22572.83984,1838.349609
2022-06-16,20381.65039,1858.127075
2022-06-17,20471.48242,1842.154663
2022-06-18,19017.64258,1826.274902
