Date,Price
2019-10-09,27.69
2019-09-09,25.97
2019-06-09,26.05
2019-05-09,26.48
2019-04-09,26.47
2019-03-09,26.21
2019-02-09,26.22
08/30/2019,27.37
08/29/2019,27.55
08/28/2019,27.11
08/27/2019,26.53
08/26/2019,26.97
08/23/2019,26.24
08/22/2019,26.81
08/21/2019,27.17
08/20/2019,27.42
08/19/2019,27.73
08/16/2019,27.15
08/15/2019,27.2
08/14/2019,28.12
08/13/2019,28.3
2019-12-08,27.91
2019-09-08,29.36
2019-08-08,29.78
2019-07-08,29.56
2019-06-08,29.7
2019-05-08,30.04
2019-02-08,30.61
2019-01-08,30.83
07/31/2019,29.38
07/30/2019,29.29
07/29/2019,29.85
07/26/2019,29.75
07/25/2019,30.51
07/24/2019,30.7
07/23/2019,31.33
07/22/2019,30.5
07/19/2019,30.38
07/18/2019,29.28
07/17/2019,29.98
07/16/2019,29.98
07/15/2019,30.56
2019-12-07,30.26
2019-11-07,29.71
2019-10-07,29.65
2019-09-07,27.9
2019-08-07,28.16
2019-05-07,27.67
2019-04-07,27.28
2019-03-07,27.78
2019-02-07,27.98
2019-01-07,28.17
06/28/2019,27.5
06/27/2019,28.15
06/26/2019,28.65
06/25/2019,27.64
06/24/2019,27.53
06/21/2019,26.42
06/20/2019,26.2
06/19/2019,26.07
06/18/2019,26.22
06/17/2019,26.12
06/14/2019,26.15
06/13/2019,26.05
2019-12-06,25.92
2019-11-06,26.11
2019-10-06,26.36
2019-07-06,25.66
2019-06-06,25.09
2019-05-06,25.28
2019-04-06,25.58
2019-03-06,24.74
05/31/2019,25.45
05/30/2019,26.28
05/29/2019,26.51
05/28/2019,26.46
05/27/2019,26.61
05/24/2019,26.44
05/23/2019,27.03
05/22/2019,27.34
05/21/2019,26.35
05/20/2019,26.16
05/17/2019,25.96
05/16/2019,26.56
05/15/2019,26.96
05/14/2019,26.87
05/13/2019,26.03
2019-10-05,26.62
2019-09-05,27.57
2019-08-05,27.99
2019-07-05,27.47
2019-06-05,26.42
2019-03-05,26.29
2019-02-05,25.79
2019-01-05,26.89
04/30/2019,27.43
04/29/2019,27.55
04/26/2019,27.09
04/25/2019,28.54
04/24/2019,28.66
04/23/2019,28.8
04/18/2019,28.14
04/17/2019,28.71
04/16/2019,28.25
04/15/2019,28.05
2019-12-04,27.82
2019-11-04,28.58
2019-10-04,27.41
2019-09-04,26.84
2019-08-04,25.58
2019-05-04,25.9
2019-04-04,25.72
2019-03-04,24.45
2019-02-04,23.25
2019-01-04,23.16
03/29/2019,22.82
03/28/2019,23.55
03/27/2019,23.15
03/26/2019,22.84
03/25/2019,22.23
03/22/2019,21.99
03/21/2019,22.28
03/20/2019,23.02
03/19/2019,22.53
03/18/2019,23.22
03/15/2019,23.92
03/14/2019,24.2
03/13/2019,23.72
2019-12-03,23.8
2019-11-03,23.78
2019-08-03,24.52
2019-07-03,24.76
2019-06-03,23.6
2019-05-03,24.42
2019-04-03,24.6
2019-01-03,23.73
02/28/2019,23.13
02/27/2019,22.7
02/26/2019,21.08
02/25/2019,20.65
02/22/2019,20.43
02/21/2019,20.32
02/20/2019,22.04
02/19/2019,21.81
02/18/2019,21.6
02/15/2019,22.04
02/14/2019,21.37
02/13/2019,22.51
2019-12-02,22.25
2019-11-02,23.97
2019-08-02,23.91
2019-07-02,25.02
2019-06-02,25.24
2019-05-02,24.74
2019-04-02,24.63
2019-01-02,23.55
01/31/2019,23.9
01/30/2019,24.72
01/29/2019,25.08
01/28/2019,24.5
01/25/2019,25.68
01/24/2019,25.85
01/23/2019,26.47
01/22/2019,26.94
01/21/2019,26.25
01/18/2019,26.63
01/17/2019,25.39
01/16/2019,25.18
01/15/2019,24.4
01/14/2019,24.33
2019-11-01,24.52
